 	StatArea.CU	CU_Name	BroodYear	Escape	TR2	TR3	TR4	TR5	TR6	TR7	Total	Total.ER	Age2	Age3	Age4	Age5	Age6	Age7
CK	CK-022	CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x	1976	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CK	CK-022	CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x	1977	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CK	CK-022	CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x	1978	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CK	CK-022	CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x	1979	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CK	CK-022	CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x	1980	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CK	CK-022	CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x	1981	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CK	CK-022	CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x	1982	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CK	CK-022	CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x	1983	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CK	CK-022	CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x	1984	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CK	CK-022	CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x	1985	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CK	CK-022	CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x	1986	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CK	CK-022	CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x	1987	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CK	CK-022	CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x	1988	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CK	CK-022	CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x	1989	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CK	CK-022	CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x	1990	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CK	CK-022	CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x	1991	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
