source_stream,destination_stream,distance_m,distance_km
BELLA COOLA RIVER,FRENCHMAN CREEK,75828,75.83
BELLA COOLA RIVER,MARTIN RIVER,105059,105.06
BELLA COOLA RIVER,HOOK NOSE CREEK,112398,112.4
BELLA COOLA RIVER,EVANS INLET #3 CREEK,118948,118.95
BELLA COOLA RIVER,MCLOUGHLIN CREEK,137608,137.61
BELLA COOLA RIVER,QUATLENA RIVER,83825,83.82
BELLA COOLA RIVER,NOOSESECK RIVER,16376,16.38
BELLA COOLA RIVER,KWATNA RIVER,72195,72.19
BELLA COOLA RIVER,KIMSQUIT RIVER,108845,108.84
BELLA COOLA RIVER,ELCHO CREEK,72083,72.08
BELLA COOLA RIVER,NECLEETSCONNAY RIVER,24456,24.46
BELLA COOLA RIVER,SAGAR CREEK,113618,113.62
BELLA COOLA RIVER,SKOWQUILTZ RIVER,68433,68.43
BELLA COOLA RIVER,GRANTHAM CREEK,102294,102.29
BELLA COOLA RIVER,WORAN CREEK,53961,53.96
BELLA COOLA RIVER,DEAN RIVER,98755,98.76
DEAN RIVER,KIMSQUIT RIVER,13758,13.76
DEAN RIVER,GRANTHAM CREEK,7208,7.21
DEAN RIVER,EVANS INLET #3 CREEK,122651,122.65
DEAN RIVER,KWATNA RIVER,110953,110.95
DEAN RIVER,MCLOUGHLIN CREEK,141312,141.31
DEAN RIVER,SAGAR CREEK,117322,117.32
DEAN RIVER,NECLEETSCONNAY RIVER,99146,99.15
DEAN RIVER,BELLA COOLA RIVER,98755,98.76
DEAN RIVER,NOOSESECK RIVER,85843,85.84
DEAN RIVER,ELCHO CREEK,75787,75.79
DEAN RIVER,SKOWQUILTZ RIVER,35436,35.44
DEAN RIVER,QUATLENA RIVER,122583,122.58
DEAN RIVER,FRENCHMAN CREEK,79532,79.53
DEAN RIVER,MARTIN RIVER,108763,108.76
DEAN RIVER,HOOK NOSE CREEK,116102,116.1
DEAN RIVER,WORAN CREEK,57664,57.66
ELCHO CREEK,GRANTHAM CREEK,79326,79.33
