source_stream,destination_stream,distance_m,distance_km
ELCHO CREEK,WORAN CREEK,24077,24.08
ELCHO CREEK,NECLEETSCONNAY RIVER,72474,72.47
ELCHO CREEK,EVANS INLET #3 CREEK,60328,60.33
ELCHO CREEK,HOOK NOSE CREEK,53779,53.78
ELCHO CREEK,DEAN RIVER,75787,75.79
ELCHO CREEK,FRENCHMAN CREEK,17209,17.21
ELCHO CREEK,KWATNA RIVER,84281,84.28
ELCHO CREEK,KIMSQUIT RIVER,85876,85.88
ELCHO CREEK,MARTIN RIVER,46440,46.44
ELCHO CREEK,SAGAR CREEK,54999,55
ELCHO CREEK,NOOSESECK RIVER,59171,59.17
ELCHO CREEK,BELLA COOLA RIVER,72083,72.08
ELCHO CREEK,QUATLENA RIVER,95911,95.91
ELCHO CREEK,SKOWQUILTZ RIVER,45465,45.46
ELCHO CREEK,MCLOUGHLIN CREEK,78989,78.99
EVANS INLET #3 CREEK,MCLOUGHLIN CREEK,37359,37.36
EVANS INLET #3 CREEK,KIMSQUIT RIVER,132741,132.74
EVANS INLET #3 CREEK,GRANTHAM CREEK,126190,126.19
EVANS INLET #3 CREEK,BELLA COOLA RIVER,118948,118.95
EVANS INLET #3 CREEK,SKOWQUILTZ RIVER,92329,92.33
EVANS INLET #3 CREEK,MARTIN RIVER,38886,38.89
EVANS INLET #3 CREEK,WORAN CREEK,70942,70.94
EVANS INLET #3 CREEK,QUATLENA RIVER,108027,108.03
EVANS INLET #3 CREEK,FRENCHMAN CREEK,45719,45.72
EVANS INLET #3 CREEK,NOOSESECK RIVER,106036,106.04
EVANS INLET #3 CREEK,SAGAR CREEK,6750,6.75
EVANS INLET #3 CREEK,DEAN RIVER,122651,122.65
EVANS INLET #3 CREEK,NECLEETSCONNAY RIVER,119339,119.34
EVANS INLET #3 CREEK,KWATNA RIVER,96397,96.4
EVANS INLET #3 CREEK,ELCHO CREEK,60328,60.33
EVANS INLET #3 CREEK,HOOK NOSE CREEK,10013,10.01
FRENCHMAN CREEK,KWATNA RIVER,88026,88.03
FRENCHMAN CREEK,SKOWQUILTZ RIVER,49210,49.21
FRENCHMAN CREEK,MARTIN RIVER,31831,31.83
FRENCHMAN CREEK,MCLOUGHLIN CREEK,64380,64.38
FRENCHMAN CREEK,WORAN CREEK,27822,27.82
FRENCHMAN CREEK,DEAN RIVER,79532,79.53
FRENCHMAN CREEK,BELLA COOLA RIVER,75828,75.83
FRENCHMAN CREEK,ELCHO CREEK,17209,17.21
FRENCHMAN CREEK,SAGAR CREEK,40390,40.39
FRENCHMAN CREEK,EVANS INLET #3 CREEK,45719,45.72
FRENCHMAN CREEK,GRANTHAM CREEK,83071,83.07
FRENCHMAN CREEK,QUATLENA RIVER,99656,99.66
FRENCHMAN CREEK,HOOK NOSE CREEK,39170,39.17
FRENCHMAN CREEK,NOOSESECK RIVER,62916,62.92
FRENCHMAN CREEK,KIMSQUIT RIVER,89621,89.62
FRENCHMAN CREEK,NECLEETSCONNAY RIVER,76219,76.22
GRANTHAM CREEK,WORAN CREEK,61203,61.2
GRANTHAM CREEK,MCLOUGHLIN CREEK,144851,144.85
GRANTHAM CREEK,FRENCHMAN CREEK,83071,83.07
GRANTHAM CREEK,KWATNA RIVER,114492,114.49
GRANTHAM CREEK,MARTIN RIVER,112302,112.3
GRANTHAM CREEK,EVANS INLET #3 CREEK,126190,126.19
GRANTHAM CREEK,NOOSESECK RIVER,89382,89.38
GRANTHAM CREEK,ELCHO CREEK,79326,79.33
GRANTHAM CREEK,BELLA COOLA RIVER,102294,102.29
GRANTHAM CREEK,HOOK NOSE CREEK,119641,119.64
GRANTHAM CREEK,NECLEETSCONNAY RIVER,102685,102.69
GRANTHAM CREEK,SKOWQUILTZ RIVER,38975,38.98
GRANTHAM CREEK,SAGAR CREEK,120861,120.86
GRANTHAM CREEK,QUATLENA RIVER,126122,126.12
GRANTHAM CREEK,DEAN RIVER,7208,7.21
GRANTHAM CREEK,KIMSQUIT RIVER,11257,11.26
HOOK NOSE CREEK,MARTIN RIVER,32337,32.34
HOOK NOSE CREEK,WORAN CREEK,64392,64.39
HOOK NOSE CREEK,EVANS INLET #3 CREEK,10013,10.01
HOOK NOSE CREEK,KWATNA RIVER,89848,89.85
HOOK NOSE CREEK,BELLA COOLA RIVER,112398,112.4
HOOK NOSE CREEK,NECLEETSCONNAY RIVER,112789,112.79
HOOK NOSE CREEK,GRANTHAM CREEK,119641,119.64
HOOK NOSE CREEK,DEAN RIVER,116102,116.1
HOOK NOSE CREEK,NOOSESECK RIVER,99486,99.49
HOOK NOSE CREEK,ELCHO CREEK,53779,53.78
HOOK NOSE CREEK,FRENCHMAN CREEK,39170,39.17
HOOK NOSE CREEK,MCLOUGHLIN CREEK,30810,30.81
HOOK NOSE CREEK,KIMSQUIT RIVER,126191,126.19
HOOK NOSE CREEK,SAGAR CREEK,4683,4.68
HOOK NOSE CREEK,SKOWQUILTZ RIVER,85780,85.78
HOOK NOSE CREEK,QUATLENA RIVER,101477,101.48
KIMSQUIT RIVER,MCLOUGHLIN CREEK,151402,151.4
KIMSQUIT RIVER,GRANTHAM CREEK,11257,11.26
KIMSQUIT RIVER,WORAN CREEK,67754,67.75
KIMSQUIT RIVER,HOOK NOSE CREEK,126191,126.19
KIMSQUIT RIVER,SKOWQUILTZ RIVER,45526,45.53
KIMSQUIT RIVER,BELLA COOLA RIVER,108845,108.84
KIMSQUIT RIVER,FRENCHMAN CREEK,89621,89.62
KIMSQUIT RIVER,QUATLENA RIVER,132673,132.67
KIMSQUIT RIVER,KWATNA RIVER,121043,121.04
KIMSQUIT RIVER,NECLEETSCONNAY RIVER,109236,109.24
KIMSQUIT RIVER,ELCHO CREEK,85876,85.88
KIMSQUIT RIVER,NOOSESECK RIVER,95933,95.93
KIMSQUIT RIVER,DEAN RIVER,13758,13.76
KIMSQUIT RIVER,EVANS INLET #3 CREEK,132741,132.74
KIMSQUIT RIVER,MARTIN RIVER,118852,118.85
KIMSQUIT RIVER,SAGAR CREEK,127411,127.41
KWATNA RIVER,QUATLENA RIVER,23239,23.24
KWATNA RIVER,WORAN CREEK,66159,66.16
KWATNA RIVER,FRENCHMAN CREEK,88026,88.03
KWATNA RIVER,HOOK NOSE CREEK,89848,89.85
KWATNA RIVER,KIMSQUIT RIVER,121043,121.04
KWATNA RIVER,SKOWQUILTZ RIVER,80631,80.63
KWATNA RIVER,BELLA COOLA RIVER,72195,72.19
KWATNA RIVER,ELCHO CREEK,84281,84.28
KWATNA RIVER,GRANTHAM CREEK,114492,114.49
KWATNA RIVER,EVANS INLET #3 CREEK,96397,96.4
KWATNA RIVER,NOOSESECK RIVER,59283,59.28
KWATNA RIVER,MARTIN RIVER,116585,116.58
KWATNA RIVER,MCLOUGHLIN CREEK,101226,101.23
KWATNA RIVER,SAGAR CREEK,91068,91.07
KWATNA RIVER,NECLEETSCONNAY RIVER,72586,72.59
KWATNA RIVER,DEAN RIVER,110953,110.95
MARTIN RIVER,HOOK NOSE CREEK,32337,32.34
MARTIN RIVER,QUATLENA RIVER,128214,128.21
MARTIN RIVER,BELLA COOLA RIVER,105059,105.06
MARTIN RIVER,SAGAR CREEK,33557,33.56
MARTIN RIVER,NECLEETSCONNAY RIVER,105450,105.45
MARTIN RIVER,FRENCHMAN CREEK,31831,31.83
MARTIN RIVER,EVANS INLET #3 CREEK,38886,38.89
MARTIN RIVER,KIMSQUIT RIVER,118852,118.85
MARTIN RIVER,KWATNA RIVER,116585,116.58
MARTIN RIVER,MCLOUGHLIN CREEK,57547,57.55
MARTIN RIVER,WORAN CREEK,57053,57.05
MARTIN RIVER,NOOSESECK RIVER,92147,92.15
MARTIN RIVER,DEAN RIVER,108763,108.76
MARTIN RIVER,ELCHO CREEK,46440,46.44
MARTIN RIVER,SKOWQUILTZ RIVER,78441,78.44
MARTIN RIVER,GRANTHAM CREEK,112302,112.3
MCLOUGHLIN CREEK,NOOSESECK RIVER,124697,124.7
MCLOUGHLIN CREEK,KIMSQUIT RIVER,151402,151.4
MCLOUGHLIN CREEK,ELCHO CREEK,78989,78.99
MCLOUGHLIN CREEK,DEAN RIVER,141312,141.31
MCLOUGHLIN CREEK,BELLA COOLA RIVER,137608,137.61
MCLOUGHLIN CREEK,SAGAR CREEK,32030,32.03
MCLOUGHLIN CREEK,QUATLENA RIVER,112856,112.86
MCLOUGHLIN CREEK,EVANS INLET #3 CREEK,37359,37.36
MCLOUGHLIN CREEK,FRENCHMAN CREEK,64380,64.38
MCLOUGHLIN CREEK,SKOWQUILTZ RIVER,110990,110.99
MCLOUGHLIN CREEK,GRANTHAM CREEK,144851,144.85
MCLOUGHLIN CREEK,MARTIN RIVER,57547,57.55
MCLOUGHLIN CREEK,NECLEETSCONNAY RIVER,137999,138
MCLOUGHLIN CREEK,KWATNA RIVER,101226,101.23
MCLOUGHLIN CREEK,WORAN CREEK,89602,89.6
MCLOUGHLIN CREEK,HOOK NOSE CREEK,30810,30.81
NECLEETSCONNAY RIVER,DEAN RIVER,99146,99.15
NECLEETSCONNAY RIVER,KWATNA RIVER,72586,72.59
NECLEETSCONNAY RIVER,SAGAR CREEK,114009,114.01
NECLEETSCONNAY RIVER,MCLOUGHLIN CREEK,137999,138
NECLEETSCONNAY RIVER,NOOSESECK RIVER,16767,16.77
NECLEETSCONNAY RIVER,BELLA COOLA RIVER,24456,24.46
NECLEETSCONNAY RIVER,SKOWQUILTZ RIVER,68824,68.82
NECLEETSCONNAY RIVER,EVANS INLET #3 CREEK,119339,119.34
NECLEETSCONNAY RIVER,GRANTHAM CREEK,102685,102.69
NECLEETSCONNAY RIVER,QUATLENA RIVER,84216,84.22
NECLEETSCONNAY RIVER,FRENCHMAN CREEK,76219,76.22
NECLEETSCONNAY RIVER,ELCHO CREEK,72474,72.47
NECLEETSCONNAY RIVER,WORAN CREEK,54352,54.35
NECLEETSCONNAY RIVER,KIMSQUIT RIVER,109236,109.24
NECLEETSCONNAY RIVER,HOOK NOSE CREEK,112789,112.79
NECLEETSCONNAY RIVER,MARTIN RIVER,105450,105.45
NOOSESECK RIVER,KWATNA RIVER,59283,59.28
NOOSESECK RIVER,SKOWQUILTZ RIVER,55521,55.52
NOOSESECK RIVER,EVANS INLET #3 CREEK,106036,106.04
NOOSESECK RIVER,DEAN RIVER,85843,85.84
NOOSESECK RIVER,FRENCHMAN CREEK,62916,62.92
NOOSESECK RIVER,KIMSQUIT RIVER,95933,95.93
NOOSESECK RIVER,BELLA COOLA RIVER,16376,16.38
NOOSESECK RIVER,ELCHO CREEK,59171,59.17
NOOSESECK RIVER,MARTIN RIVER,92147,92.15
NOOSESECK RIVER,MCLOUGHLIN CREEK,124697,124.7
NOOSESECK RIVER,QUATLENA RIVER,70913,70.91
NOOSESECK RIVER,GRANTHAM CREEK,89382,89.38
NOOSESECK RIVER,SAGAR CREEK,100706,100.71
NOOSESECK RIVER,NECLEETSCONNAY RIVER,16767,16.77
NOOSESECK RIVER,WORAN CREEK,41049,41.05
NOOSESECK RIVER,HOOK NOSE CREEK,99486,99.49
QUATLENA RIVER,EVANS INLET #3 CREEK,108027,108.03
QUATLENA RIVER,NECLEETSCONNAY RIVER,84216,84.22
QUATLENA RIVER,MCLOUGHLIN CREEK,112856,112.86
QUATLENA RIVER,ELCHO CREEK,95911,95.91
QUATLENA RIVER,KWATNA RIVER,23239,23.24
QUATLENA RIVER,FRENCHMAN CREEK,99656,99.66
QUATLENA RIVER,DEAN RIVER,122583,122.58
QUATLENA RIVER,BELLA COOLA RIVER,83825,83.82
QUATLENA RIVER,MARTIN RIVER,128214,128.21
QUATLENA RIVER,KIMSQUIT RIVER,132673,132.67
QUATLENA RIVER,GRANTHAM CREEK,126122,126.12
QUATLENA RIVER,NOOSESECK RIVER,70913,70.91
QUATLENA RIVER,HOOK NOSE CREEK,101477,101.48
QUATLENA RIVER,WORAN CREEK,77788,77.79
QUATLENA RIVER,SAGAR CREEK,102697,102.7
QUATLENA RIVER,SKOWQUILTZ RIVER,92261,92.26
SAGAR CREEK,KWATNA RIVER,91068,91.07
SAGAR CREEK,HOOK NOSE CREEK,4683,4.68
SAGAR CREEK,EVANS INLET #3 CREEK,6750,6.75
SAGAR CREEK,QUATLENA RIVER,102697,102.7
SAGAR CREEK,MCLOUGHLIN CREEK,32030,32.03
SAGAR CREEK,GRANTHAM CREEK,120861,120.86
SAGAR CREEK,NECLEETSCONNAY RIVER,114009,114.01
SAGAR CREEK,FRENCHMAN CREEK,40390,40.39
SAGAR CREEK,WORAN CREEK,65612,65.61
SAGAR CREEK,ELCHO CREEK,54999,55
SAGAR CREEK,SKOWQUILTZ RIVER,87000,87
SAGAR CREEK,KIMSQUIT RIVER,127411,127.41
SAGAR CREEK,MARTIN RIVER,33557,33.56
SAGAR CREEK,DEAN RIVER,117322,117.32
SAGAR CREEK,NOOSESECK RIVER,100706,100.71
SAGAR CREEK,BELLA COOLA RIVER,113618,113.62
SKOWQUILTZ RIVER,MARTIN RIVER,78441,78.44
SKOWQUILTZ RIVER,GRANTHAM CREEK,38975,38.98
SKOWQUILTZ RIVER,QUATLENA RIVER,92261,92.26
SKOWQUILTZ RIVER,KWATNA RIVER,80631,80.63
SKOWQUILTZ RIVER,EVANS INLET #3 CREEK,92329,92.33
SKOWQUILTZ RIVER,WORAN CREEK,27342,27.34
SKOWQUILTZ RIVER,NOOSESECK RIVER,55521,55.52
SKOWQUILTZ RIVER,DEAN RIVER,35436,35.44
SKOWQUILTZ RIVER,FRENCHMAN CREEK,49210,49.21
SKOWQUILTZ RIVER,KIMSQUIT RIVER,45526,45.53
SKOWQUILTZ RIVER,SAGAR CREEK,87000,87
SKOWQUILTZ RIVER,MCLOUGHLIN CREEK,110990,110.99
SKOWQUILTZ RIVER,HOOK NOSE CREEK,85780,85.78
SKOWQUILTZ RIVER,NECLEETSCONNAY RIVER,68824,68.82
SKOWQUILTZ RIVER,ELCHO CREEK,45465,45.46
SKOWQUILTZ RIVER,BELLA COOLA RIVER,68433,68.43
WORAN CREEK,GRANTHAM CREEK,61203,61.2
WORAN CREEK,MCLOUGHLIN CREEK,89602,89.6
WORAN CREEK,NOOSESECK RIVER,41049,41.05
WORAN CREEK,SAGAR CREEK,65612,65.61
WORAN CREEK,BELLA COOLA RIVER,53961,53.96
WORAN CREEK,EVANS INLET #3 CREEK,70942,70.94
WORAN CREEK,HOOK NOSE CREEK,64392,64.39
WORAN CREEK,ELCHO CREEK,24077,24.08
WORAN CREEK,NECLEETSCONNAY RIVER,54352,54.35
WORAN CREEK,MARTIN RIVER,57053,57.05
WORAN CREEK,QUATLENA RIVER,77788,77.79
WORAN CREEK,KWATNA RIVER,66159,66.16
WORAN CREEK,FRENCHMAN CREEK,27822,27.82
WORAN CREEK,KIMSQUIT RIVER,67754,67.75
WORAN CREEK,DEAN RIVER,57664,57.66
WORAN CREEK,SKOWQUILTZ RIVER,27342,27.34
