source_stream,destination_stream,distance_m,distance_km
BRODICK CREEK,LEINER RIVER,27903,27.9
BRODICK CREEK,CANTON CREEK,62609,62.61
BRODICK CREEK,LITTLE ZEBALLOS RIVER,16877,16.88
BRODICK CREEK,TLUPANA RIVER,60609,60.61
BRODICK CREEK,SUCWOA RIVER,64177,64.18
BRODICK CREEK,TAHSIS RIVER,28914,28.91
BRODICK CREEK,KLEEPTEE CREEK,60120,60.12
BRODICK CREEK,INNER BASIN RIVER,117204,117.2
BRODICK CREEK,TSOWWIN RIVER,30969,30.97
BRODICK CREEK,DESERTED CREEK,56289,56.29
BRODICK CREEK,HOISS CREEK,44908,44.91
BRODICK CREEK,MOOYAH RIVER,55985,55.98
BRODICK CREEK,MAMAT CREEK,21894,21.89
BRODICK CREEK,ESPINOSA CREEK,24228,24.23
BRODICK CREEK,CONUMA RIVER,61655,61.66
BRODICK CREEK,ZEBALLOS RIVER,21355,21.35
BRODICK CREEK,BURMAN RIVER,87019,87.02
BRODICK CREEK,MARVINAS BAY CREEK,48786,48.79
BRODICK CREEK,CHUM CREEK,22684,22.68
BRODICK CREEK,HAMMOND CREEK,26001,26
BRODICK CREEK,PARK RIVER,17562,17.56
BURMAN RIVER,CANTON CREEK,56299,56.3
BURMAN RIVER,INNER BASIN RIVER,117915,117.91
BURMAN RIVER,LEINER RIVER,71864,71.86
BURMAN RIVER,LITTLE ZEBALLOS RIVER,84165,84.17
BURMAN RIVER,CHUM CREEK,100724,100.72
BURMAN RIVER,MOOYAH RIVER,35039,35.04
BURMAN RIVER,TLUPANA RIVER,54299,54.3
BURMAN RIVER,HAMMOND CREEK,104041,104.04
BURMAN RIVER,MAMAT CREEK,99934,99.93
BURMAN RIVER,TAHSIS RIVER,72875,72.87
BURMAN RIVER,HOISS CREEK,45618,45.62
BURMAN RIVER,MARVINAS BAY CREEK,49496,49.5
BURMAN RIVER,BRODICK CREEK,87019,87.02
BURMAN RIVER,PARK RIVER,95602,95.6
BURMAN RIVER,TSOWWIN RIVER,57171,57.17
BURMAN RIVER,SUCWOA RIVER,57867,57.87
BURMAN RIVER,KLEEPTEE CREEK,39174,39.17
BURMAN RIVER,CONUMA RIVER,55345,55.35
BURMAN RIVER,DESERTED CREEK,49979,49.98
BURMAN RIVER,ZEBALLOS RIVER,88643,88.64
BURMAN RIVER,ESPINOSA CREEK,102268,102.27
CANTON CREEK,ZEBALLOS RIVER,64233,64.23
CANTON CREEK,CONUMA RIVER,3718,3.72
CANTON CREEK,BURMAN RIVER,56299,56.3
CANTON CREEK,LEINER RIVER,47454,47.45
CANTON CREEK,MOOYAH RIVER,25265,25.27
CANTON CREEK,BRODICK CREEK,62609,62.61
CANTON CREEK,MAMAT CREEK,75524,75.52
CANTON CREEK,KLEEPTEE CREEK,29400,29.4
CANTON CREEK,TAHSIS RIVER,48465,48.46
CANTON CREEK,LITTLE ZEBALLOS RIVER,59755,59.76
CANTON CREEK,DESERTED CREEK,17721,17.72
CANTON CREEK,INNER BASIN RIVER,93505,93.5
CANTON CREEK,PARK RIVER,71192,71.19
CANTON CREEK,HOISS CREEK,21209,21.21
CANTON CREEK,SUCWOA RIVER,3785,3.78
CANTON CREEK,ESPINOSA CREEK,77858,77.86
CANTON CREEK,TLUPANA RIVER,11844,11.84
CANTON CREEK,CHUM CREEK,76314,76.31
CANTON CREEK,HAMMOND CREEK,79631,79.63
CANTON CREEK,TSOWWIN RIVER,32761,32.76
CANTON CREEK,MARVINAS BAY CREEK,25086,25.09
CHUM CREEK,KLEEPTEE CREEK,73825,73.83
CHUM CREEK,INNER BASIN RIVER,130910,130.91
CHUM CREEK,ESPINOSA CREEK,3163,3.16
