SpeciesId	StatArea.CU	CU_Name	Year	T_Idx_E	ExpFactor1	AdjSum	ExpFactor2	ObsE	ExpFactor3	TE	CDN.Harvest	CDN.ER	TRTC	Total.Harvest	Total.ER	Total.Run	Q1	Q2	Q3
CM	CM-007	Bute Inlet	1987	NA	NA	NA	NA	NA	NA	82586.47391	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	1988	NA	NA	NA	NA	NA	NA	112712.3575	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	1989	NA	NA	NA	NA	NA	NA	22854.11856	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	1990	NA	NA	NA	NA	NA	NA	12465.88285	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	1991	NA	NA	NA	NA	NA	NA	44934.15561	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	1992	NA	NA	NA	NA	NA	NA	197376.4785	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	1993	NA	NA	NA	NA	NA	NA	200492.9492	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	1994	NA	NA	NA	NA	NA	NA	106479.416	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	1995	NA	NA	NA	NA	NA	NA	59212.94355	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	1996	NA	NA	NA	NA	NA	NA	24572.42017	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	1997	NA	NA	NA	NA	NA	NA	27797.55032	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	1998	NA	NA	NA	NA	NA	NA	20686.2217	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	1999	NA	NA	NA	NA	NA	NA	10392.08603	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	2000	NA	NA	NA	NA	NA	NA	10343.11085	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	2001	NA	NA	NA	NA	NA	NA	51715.55425	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	2002	NA	NA	NA	NA	NA	NA	58772.14163	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	2003	NA	NA	NA	NA	NA	NA	34500.73913	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	2004	NA	NA	NA	NA	NA	NA	1247.583615	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	2006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	2007	NA	NA	NA	NA	NA	NA	507.4916398	NA	NA	NA	NA	NA	NA	NA	NA	NA
