SYS_NM,dist_km
QUATLENA RIVER,144.451
KWATNA RIVER,130.621
HOOK NOSE CREEK,42.239
EVANS INLET CREEK #3,52.293
SAGAR CREEK,43.305
MARTIN RIVER,33.405
FRENCHMAN CREEK,86.179
ELCHO CREEK,106.639
WORAN CREEK,120.913
SKOWQUILTZ RIVER,148.313
DEAN RIVER,185.054
GRANTHAM CREEK,190.66
KIMSQUIT RIVER,198.927
NOOSESECK RIVER,170.44
NECLEETSCONNAY RIVER,131.24
